RAGA	THAAT	TIME	AAROHA	AVAROHA	VADI	SAMVADI	PAKAD	JATI	
Shyam Kalyaan	Kalyaan	"Evening, 6-9"	"S,R,m,P,N,S'"	"S',N,D,P,M,P,G,m,R,S"	R	P	R P G m R 'N S	Audav-Sampurna	
Sindhura Chhaya	Kafi	"Early Morning, 3-6"	"S,R,m,P,D,m,P,N,S'"	"S',R',n,D,P,m,G,m,P,g,R,S"	P	S	m P D m P N S' R' n D P m G m P g R S	Audav-Sampurna	
Sindura	Asavari	"Morning, 9-12"	"S,R,m,P,D,S'"	"S',n,D,P,d,m,P,g,R,m,m,g,S,R,S"	S'	P	m P D S' n d P D m P D S'	Audav-Sampurna	
Shuddha Barari	Marva	"Evening, 6-9"	"S,r,G,P,D,N,S'"	"S',N,D,P,G,r,S"	P	S	G P D N D P P G r	Shadav-Shadav	
Sohni	Marva	"Before Sunrise, 3-6"	"S,G,M,D,N,S'"	"S',N,D,M,D,G,M,G,r,S"	D	G	M D N S r' S S N D M D G	Audav-Shadav	
Sourashtrabhairav	Bhairav	"Before Sunrise, 3-6"	"S,'N,S,m,G,D,N,S"	"S,d,d,P,G,m,P,G,M,r,S"	m	S	m D N S' S' N d m	Audav-Sampurna	
Sugharayi	Kafi	"Late Evening, 6-9"	"S,R,g,m,P,n,P,S'"	"S',n,D,n,P,m,P,g,m,R,S"	P	S	S n D n n P m R S R g	Shadav-Sampoorna	
Suha	Kafi	"Late Evening , 6-9"	"n,S,g,m,P,n,m,P,S'"	"S',n,P,m,P,g,m,R,S"	m	S	'n S g g m P g m R S	Audav-Shadav	
Tilak Kamod	Khamaj	"Late Evening, 6-9"	"S,R,m,P,N,S'"	"S',P,n,D,P,D,m,G,S,R,G,R,S"	S	P	'P 'N S R G S R P m G R S P D m P S' P	Shadav-Sampoorna	
Tilang	Khamaj	"Late Evening, 6-9"	"S,G,m,P,N,S'"	"S',n,P,m,P,G,m,P,m,G,S"	G	N	m P N S' n P G m G S	Audav-Audav	
Todi abheri	Asavari	"Evening, 6-9"	"S,R,G,m,P,d,P,D,n,S'"	"S',n,d,P,m,g,r,S"	d	g	R m P d P g r g r S R G m P D n S' R' n d P m P g r g r S	Vakra	
Triveni	Poorvi	"Morning, 6-9"	"S,r,r,S,S,r,G,P,G,P,d,P,S'"	"S',N,d,P,P,G,r,r,S"	S	P	S r P d P S' N d P G P G r	Audav-Shadav	
Vasanth	Poorvi	"Early Morning, 3-6"	"S,G,M,d,N,S',m,G,M,d,N,S'"	"S',N,d,P,M,G,M,G,r,S"	S'	P	M d r' S' N d P M G M G	Audav-Sampurna	
Vasanthmukhari	Bhairav	"Morning, 6-9"	"S,r,G,m,P,d,n,S'"	"S',N,D,P,m,G,R,S"	P	S	P d n d P G m R S	Sampurna-Sampurna	
Vibhas	Bhairav	"Morning, 6-9"	"S,r,G,P,d,S'"	"S',d,P,G,r,S"	d	r	G P d G P G r S	Audav-Audav	
Vihang	Poorvi	"Night, 6-9"	"N,r,G,M,D,N,S'"	"r',N,D,P,M,G,r,G,m,G,r,S"	G	N	G m r G m G G M D M G G r S	Sampurna-Sampurna	
Uttari gunakali	Bhairav	"Morning, 6-9"	"S,r,g,m,m,P,d,n,S'"	"S',n,d,P,d,m,P,g,g,m,r,S"	S	P	d m P d m P g g m r S	Sampurna-Sampurna	
Yaman (Kalyaan)	Kalyaan	"Evening, 6-9"	"N,r,G,M,D,N,S'"	"S',N,D,P,M,G,m,G,R,S"	G	N	'N R G M P R G m G  R G R 'N R S	Shadav-Sampoorna	
YamaniBilaval	Kalyaan	"Morning, 6-9"	"S,R,G,P,D,N,S'"	"S',N,D,P,D,n,D,P,M,G,m,G,R,G,R,S"	G	D	D n D P M G m G R	Shadav-Sampoorna	
